"views","likes","dislikes","comment_count","days_trending","days_after_publish","num_tags","title_word_count","description_word_count","category_id","Country","engagement","category"
4189087,34582,4950,8775,2,1,3,5,19,"24","Canada",0.011531629684463465,"Entertainment"
231341,7734,212,846,4,1,8,9,46,"22","USA",0.03800450417349281,"People & Blogs"
565545,10530,1137,4937,2,1,30,12,98,"24","Canada",0.029359290595796974,"Entertainment"
74538,390,78,249,2,0,10,6,25,"24","Germany",0.009619254608387667,"Entertainment"
442994,23716,832,1774,3,1,4,8,30,"23","Germany",0.05941841198752128,"Comedy"
35482,1798,146,339,1,2,3,4,352,"25","Germany",0.06434248351276704,"News & Politics"
71089,460,27,23,3,2,3,5,68,"27","USA",0.007174105698490625,"Education"
24067,915,15,361,2,1,6,14,22,"25","Germany",0.05364191631694852,"News & Politics"
357738,0,0,0,4,2,1,11,9,"24","Germany",0.0,"Entertainment"
31275,0,0,208,1,1,18,9,62,"24","Canada",0.006650679456434852,"Entertainment"
217183,4285,73,267,2,2,27,13,319,"17","Germany",0.021295405257317563,"Sports"
2390558,41016,1642,977,4,1,15,8,58,"10","USA",0.018253060582508352,"Music"
291653,3788,603,3093,2,1,9,9,34,"25","USA",0.025660630955279047,"News & Politics"
342238,9748,443,1373,1,1,11,6,105,"1","Canada",0.033789351270168716,"Film & Animation"
135755,943,107,233,1,1,13,2,8,"22","Germany",0.009450848955839563,"People & Blogs"
9102,152,7,37,1,1,1,4,1,"22","Germany",0.02153372885080202,"People & Blogs"
27361,0,0,0,2,1,7,4,14,"26","Germany",0.0,"Howto & Style"
78565,7430,42,323,1,1,15,11,221,"26","Germany",0.09921720868071024,"Howto & Style"
219848,13482,255,2535,2,1,17,7,161,"24","Canada",0.07401477384374659,"Entertainment"
48065,169,34,27,1,1,6,12,19,"24","Germany",0.004785186726308124,"Entertainment"
1036300,12984,383,714,4,1,21,10,51,"17","USA",0.013587764160957251,"Sports"
8091,367,8,81,1,2,19,7,10,"22","Germany",0.05635891731553578,"People & Blogs"
321826,647,123,245,1,1,26,25,713,"1","Germany",0.0031538781826204224,"Film & Animation"
341665,8871,207,1426,1,2,30,11,67,"10","Canada",0.03074356460275416,"Music"
2425578,129381,1522,8757,8,1,23,8,47,"10","USA",0.05757802882446988,"Music"
3170,4,0,1,8,2933,6,3,16,"17","USA",0.0015772870662460567,"Sports"
385104,4028,343,1507,1,1,37,16,156,"17","USA",0.015263409364743031,"Sports"
404690,16002,306,858,14,2,13,8,658,"22","United Kingdom",0.04241765301835973,"People & Blogs"
9103,260,19,0,1,1,30,7,439,"22","Germany",0.030649236515434473,"People & Blogs"
153425,1239,134,134,1,1,1,7,1,"22","Germany",0.009822388789310738,"People & Blogs"
20534,570,22,58,3,1,1,4,26,"10","Canada",0.03165481640206487,"Music"
420149,2330,1497,1370,3,2,22,8,181,"24","Canada",0.012369421324339698,"Entertainment"
16702,459,114,378,2,1,53,8,211,"29","Germany",0.05693928870793917,"Nonprofits & Activism"
373184,8670,334,880,10,1,28,7,198,"25","USA",0.026485594237695077,"News & Politics"
5122,82,17,30,1,1,41,9,20,"2","Germany",0.025185474424053104,"Autos & Vehicles"
266142,10697,389,1035,5,4,18,8,395,"26","USA",0.04554335655402003,"Howto & Style"
153229,1234,122,65,1,2,42,15,489,"23","Germany",0.009273701453380235,"Comedy"
18467,168,7,17,1,1,10,8,29,"22","Canada",0.010396924243244707,"People & Blogs"
259366,8292,92,1168,1,1,32,7,187,"1","Germany",0.03682826584826076,"Film & Animation"
174616,1838,251,339,1,1,18,6,72,"1","Germany",0.013904796811288771,"Film & Animation"
1758599,16188,832,2182,2,1,29,5,466,"24","United Kingdom",0.010918918980392916,"Entertainment"
570172,17578,636,2590,2,0,25,8,33,"24","Canada",0.03648723543071214,"Entertainment"
8580,30,5,1,2,1,1,8,1,"22","Germany",0.004195804195804196,"People & Blogs"
63945,1155,100,811,1,1,15,8,29,"25","Canada",0.03230901556024709,"News & Politics"
19122,500,37,41,1,2,10,11,325,"27","Germany",0.030226963706725236,"Education"
93013,1170,44,108,1,1,11,5,19,"24","Canada",0.014213066990635717,"Entertainment"
121471,1750,74,37,2,1,1,6,97,"29","Canada",0.015320529179804233,"Nonprofits & Activism"
349611,1956,238,518,1,2,20,7,179,"22","Germany",0.007757192994499601,"People & Blogs"
437732,49907,626,1479,13,2,17,5,92,"28","USA",0.11882156205166632,"Science & Technology"
2202412,47777,513,1480,3,2,15,10,28,"24","Canada",0.022597951700226843,"Entertainment"
412542,2488,309,696,2,1,19,7,208,"22","Germany",0.008467016691633822,"People & Blogs"
10929,446,10,156,2,0,24,6,271,"22","Germany",0.055997804007685975,"People & Blogs"
678161,41055,368,1714,2,1,38,9,91,"10","Canada",0.06360878906336401,"Music"
367835,5004,525,1647,1,1,8,7,189,"24","Germany",0.019508747128467927,"Entertainment"
3030827,136572,5020,8158,3,1,26,9,163,"23","Canada",0.049408956697297474,"Comedy"
345486,6810,121,688,10,2,30,14,99,"17","United Kingdom",0.02205299201704266,"Sports"
114646,8338,91,661,1,2,33,8,295,"10","Germany",0.0792875460111997,"Music"
1770509,163869,2704,7269,34,2,8,6,116,"10","United Kingdom",0.09818758334467659,"Music"
10571,118,5,7,1,7,13,5,51,"24","Canada",0.012297795856588781,"Entertainment"
216571,1771,247,726,1,1,17,8,189,"22","Germany",0.012670209769544399,"People & Blogs"
1812687,24868,593,3782,5,1,27,10,59,"24","Canada",0.016132404546399904,"Entertainment"
25878,1701,208,184,2,1,28,9,158,"24","Germany",0.08087951155421594,"Entertainment"
209207,10130,184,327,1,1,38,3,42,"24","Germany",0.050863498831301056,"Entertainment"
1431462,29689,943,3617,4,1,27,12,311,"24","USA",0.02392588835749744,"Entertainment"
661644,3359,556,574,2,2,23,8,331,"24","Germany",0.006784615291606967,"Entertainment"
32402,250,5,19,1,1,1,10,1,"1","Germany",0.008456268131596814,"Film & Animation"
437863,5074,120,700,1,1,24,10,173,"24","Germany",0.013460831355926397,"Entertainment"
2562,43,7,0,1,0,14,13,50,"20","Germany",0.0195160031225605,"Gaming"
5454,796,24,104,1,1,8,9,347,"20","Germany",0.1694169416941694,"Gaming"
852956,8224,950,726,4,1,26,20,140,"24","Canada",0.011606694835372517,"Entertainment"
187168,2695,230,425,2,1,45,14,61,"25","Canada",0.01789835869379381,"News & Politics"
19621,0,0,0,1,2,1,6,1,"29","Germany",0.0,"Nonprofits & Activism"
3582039,70630,9985,9056,5,0,48,8,109,"22","Canada",0.025033507452040582,"People & Blogs"
81333,3466,122,404,1,1,21,4,83,"24","Germany",0.049082168369542496,"Entertainment"
6881,83,4,24,1,1,10,6,3,"22","Germany",0.016131376253451533,"People & Blogs"
593557,25292,630,1881,4,1,16,5,76,"23","USA",0.04684133116111848,"Comedy"
444683,32878,912,2087,3,1,5,8,41,"23","Germany",0.08067994503950005,"Comedy"
171896,5177,175,544,2,1,12,3,220,"24","Canada",0.03429980918695025,"Entertainment"
2620061,59416,1201,8529,6,1,39,5,486,"15","USA",0.02639098860675381,"Pets & Animals"
3510260,28252,1695,2379,15,1,1,2,29,"17","USA",0.009209004461208002,"Sports"
31235,0,0,0,2,1,11,11,1,"24","Germany",0.0,"Entertainment"
3993,332,17,178,1,1,23,6,657,"24","Germany",0.1319809666917105,"Entertainment"
4651793,251125,1013,12150,15,1,49,5,56,"10","United Kingdom",0.05681422195699594,"Music"
1817392,199676,5720,21023,4,1,12,6,115,"24","Germany",0.12458456953700688,"Entertainment"
36336,3939,22,303,1,1,27,8,404,"26","Canada",0.11734918538088948,"Howto & Style"
31423,1939,38,362,1,1,8,15,185,"22","Germany",0.07443592273175699,"People & Blogs"
513127,6414,2059,3369,1,2,15,6,63,"22","Canada",0.023078107369130837,"People & Blogs"
252542,760,100,111,1,1,14,12,68,"17","USA",0.003844905005900009,"Sports"
34982,2757,24,243,1,2,19,14,215,"24","Germany",0.08644445714939111,"Entertainment"
963139,14838,921,585,2,0,13,6,41,"17","Germany",0.01696951322706276,"Sports"
98540,2052,102,806,1,1,56,11,208,"1","Canada",0.030038563020093362,"Film & Animation"
84912,219,55,111,1,1,1,8,1,"22","Germany",0.004534105897870737,"People & Blogs"
171599,44,91,25,1,2,22,11,143,"24","Canada",9.324063660044639E-4,"Entertainment"
81207,918,82,69,1,1,29,8,156,"24","Germany",0.013163889812454591,"Entertainment"
509656,4733,179,1302,1,1,14,19,75,"17","Canada",0.01219253771171143,"Sports"
2294858,41260,1316,1490,4,1,16,13,206,"10","Canada",0.01920205956098373,"Music"
1371506,18997,1185,2861,2,1,34,13,217,"23","Canada",0.016801238930052073,"Comedy"
2199,38,7,0,1,1,21,10,13,"24","Germany",0.020463847203274217,"Entertainment"
157600,1498,111,403,1,1,27,12,51,"24","Germany",0.012766497461928934,"Entertainment"
2579,380,1,48,1,1,24,10,58,"27","Germany",0.16634354400930593,"Education"
315922,8924,375,1215,3,1,22,16,163,"24","Canada",0.03328036667278632,"Entertainment"
176966,14184,177,1047,1,1,20,8,491,"26","Canada",0.08706757230202412,"Howto & Style"
136628,4276,59,1169,1,1,24,3,131,"24","Canada",0.04028456831688965,"Entertainment"
104292,550,77,51,1,2,29,12,363,"24","Canada",0.006500978023242435,"Entertainment"
20217,225,70,315,1,2,8,9,195,"25","Canada",0.030172626997081665,"News & Politics"
14638,83,14,32,1,1,6,9,24,"24","Germany",0.00881267932777702,"Entertainment"
750136,30695,2263,13690,9,1,14,7,57,"24","United Kingdom",0.06218605692834366,"Entertainment"
538214,12085,914,4689,1,1,37,9,201,"27","Germany",0.03286425102282735,"Education"
431698,1725,175,624,1,1,6,2,50,"25","Germany",0.005846679854898563,"News & Politics"
18700,43,11,9,2,1,1,11,56,"24","Germany",0.0033689839572192512,"Entertainment"
15621,905,53,56,1,1,8,9,41,"24","Germany",0.06491261763011331,"Entertainment"
481259,431,43,225,2,2,4,3,29,"28","USA",0.0014524403699463283,"Science & Technology"
83709,3287,101,400,1,1,22,9,250,"26","Germany",0.04525200396612073,"Howto & Style"
239453,1643,161,96,2,0,24,2,17,"25","Canada",0.007934751287308991,"News & Politics"
5749,215,13,23,1,1,35,3,164,"27","Germany",0.04365976691598539,"Education"
233672,5413,242,699,1,1,1,16,20,"22","Germany",0.027191961381765894,"People & Blogs"
4609,187,9,28,1,1,33,16,96,"28","Germany",0.048600564113690604,"Science & Technology"
908821,0,0,2331,2,0,12,15,84,"24","Germany",0.0025648615073815416,"Entertainment"
340638,2642,772,2296,2,1,11,8,22,"25","Canada",0.01676266300295328,"News & Politics"
106827,732,66,179,1,1,39,6,177,"22","Canada",0.00914562797794565,"People & Blogs"
59218,1872,38,229,1,1,29,16,200,"24","Germany",0.03612077408895944,"Entertainment"
131985,5051,122,504,6,5,23,10,567,"26","United Kingdom",0.0430124635375232,"Howto & Style"
3592011,52578,2414,4919,32,1,35,5,82,"10","United Kingdom",0.01667895783169929,"Music"
87264467,815369,71494,35945,11,1,24,6,100,"10","USA",0.010574842564499936,"Music"
3172185,20294,3690,3418,4,1,29,11,158,"10","Canada",0.008638209940466901,"Music"
405089,10572,333,1716,1,1,28,6,182,"27","Canada",0.031156116310242933,"Education"
236420,11473,163,513,2,1,24,6,406,"28","Canada",0.051387361475340496,"Science & Technology"
268936,6713,452,1101,1,1,13,9,120,"26","Canada",0.03073593717464378,"Howto & Style"
404274,27644,206,3774,1,2,16,7,124,"1","Canada",0.07822417469340101,"Film & Animation"
70591,2958,76,397,1,1,14,16,534,"20","Germany",0.04860392967942089,"Gaming"
13083,1503,29,249,2,1,18,8,133,"22","Germany",0.13613085683711687,"People & Blogs"
3509,27,1,5,1,1,1,8,27,"1","Germany",0.009404388714733543,"Film & Animation"
388899,12571,370,5741,1,1,40,3,129,"22","Germany",0.04803817957875953,"People & Blogs"
115060,8579,89,1036,1,1,23,5,112,"22","Canada",0.08433860594472449,"People & Blogs"
117429,3109,149,607,3,1,27,10,327,"1","Germany",0.03291350518185457,"Film & Animation"
33487,607,26,175,1,1,9,3,1,"23","Germany",0.024128766386956133,"Comedy"
4397,240,14,87,1,1,8,8,126,"27","Germany",0.07755287696156471,"Education"
834586,17702,917,1975,7,1,28,4,196,"24","USA",0.024675707476521293,"Entertainment"
522178,30352,1008,43478,4,1,18,5,144,"24","Germany",0.14331894488086439,"Entertainment"
628134,28465,5354,3268,7,5,15,12,410,"10","United Kingdom",0.059043134108327205,"Music"
1114313,21968,782,3212,3,1,20,7,221,"28","USA",0.023298660250755398,"Science & Technology"
186743,20201,750,4866,2,1,7,10,105,"24","Germany",0.13824882324906423,"Entertainment"
11773962,397715,6677,20481,8,1,8,6,67,"10","USA",0.036085813764304656,"Music"
15500,48,13,0,1,2,61,11,21,"10","Germany",0.0039354838709677415,"Music"
497544,16557,1828,2729,2,1,39,17,483,"19","Canada",0.04243644783174955,"Travel & Events"
265611,5243,403,574,2,1,11,5,489,"22","Canada",0.023417704839031515,"People & Blogs"
89623,12927,489,1830,2,1,6,9,245,"24","Germany",0.1701125827075639,"Entertainment"
208027,1942,151,515,1,1,8,9,343,"24","Canada",0.012536834160950262,"Entertainment"
5468,344,8,52,1,1,30,5,1,"26","Germany",0.07388441843452817,"Howto & Style"
72017,175,54,18,1,2,49,8,14,"24","Germany",0.003429745754474638,"Entertainment"
3469,244,9,43,1,1,8,11,240,"28","Germany",0.0853271836264053,"Science & Technology"
13768441,148750,45575,26500,23,1,8,10,37,"24","United Kingdom",0.01603848976075069,"Entertainment"
5860,300,26,52,1,1,24,7,576,"22","Germany",0.06450511945392491,"People & Blogs"
37607,2922,55,153,1,1,27,10,137,"24","Germany",0.08322918605578748,"Entertainment"
73849,5305,109,481,1,2,9,9,115,"17","Germany",0.07982504840959255,"Sports"
2255705,14812,1427,2722,2,1,19,16,417,"17","Canada",0.00840579774394258,"Sports"
430460,2762,108,1513,2,1,54,9,217,"24","Canada",0.01018213074385541,"Entertainment"
9001,302,11,57,1,1,34,10,23,"25","Germany",0.04110654371736474,"News & Politics"
219549,2037,142,638,2,1,27,19,102,"27","Canada",0.01283084869436891,"Education"
49761,273,42,70,1,1,33,10,36,"24","Germany",0.0077369827776772974,"Entertainment"
6119,418,9,32,1,1,20,6,209,"26","Germany",0.07501225690472299,"Howto & Style"
37490,1898,43,210,1,1,15,9,47,"26","Germany",0.05737530008002134,"Howto & Style"
565288,20907,423,2276,14,5,25,12,500,"26","USA",0.0417592448451055,"Howto & Style"
4722,105,6,19,1,1,6,6,91,"24","Germany",0.027530707327403644,"Entertainment"
105081,653,125,441,1,1,3,9,33,"17","Canada",0.011600574794682197,"Sports"
11698,77,11,9,1,1,24,10,112,"17","Germany",0.008292015729184476,"Sports"
464265,12477,291,2223,2,1,37,3,92,"23","Canada",0.032289748311847756,"Comedy"
639982,16519,1243,1739,6,1,32,10,220,"23","USA",0.030471169501642234,"Comedy"
427713,6531,704,973,4,1,6,11,31,"22","Canada",0.019190438448211767,"People & Blogs"
614951,22342,420,2399,1,1,29,10,98,"24","Canada",0.04091545505251638,"Entertainment"
10992,0,0,60,1,1,1,13,1,"1","Germany",0.0054585152838427945,"Film & Animation"
161361,838,100,119,1,2,20,6,212,"24","Germany",0.006550529557947707,"Entertainment"
94559,5137,112,176,1,1,3,15,62,"20","Germany",0.05737158810901131,"Gaming"
9589,36,5,5,1,1,20,4,0,"24","Germany",0.004797163416414642,"Entertainment"
686286,25910,638,5429,1,2,32,6,367,"24","Germany",0.0465942770215333,"Entertainment"
358063,6960,180,1191,2,1,26,3,270,"24","Canada",0.023266855274071883,"Entertainment"
72072,1450,26,62,1,1,5,11,91,"24","Germany",0.02133977133977134,"Entertainment"
837412,6916,581,368,2,9,20,5,51,"10","Canada",0.009392031640339523,"Music"
389912,24977,315,1367,3,1,8,8,82,"22","Germany",0.06837183774800468,"People & Blogs"
53623,1059,7,316,1,2,34,9,299,"26","Germany",0.025772522984540216,"Howto & Style"
448596,3131,630,12731,1,1,14,6,11,"24","Germany",0.03676359129372531,"Entertainment"
253065,2956,64,213,2,1,17,5,13,"15","Canada",0.012775373915792386,"Pets & Animals"
161082,776,92,242,1,1,8,6,24,"24","Germany",0.0068909002868104445,"Entertainment"
171950,2729,120,592,1,1,10,12,26,"24","Canada",0.020011631288165164,"Entertainment"
34501,1296,10,163,1,1,39,12,255,"26","Canada",0.0425784759862033,"Howto & Style"
89670,1365,13,58,1,1,19,10,31,"17","Germany",0.01601427456228393,"Sports"
116755,4484,199,724,3,1,35,6,198,"22","Germany",0.04631065050747291,"People & Blogs"
449925,14880,250,1662,2,1,39,7,317,"2","Germany",0.03732177585153081,"Autos & Vehicles"
256547,1263,54,207,8,2,23,7,236,"17","United Kingdom",0.005940431967631662,"Sports"
24160,131,19,24,1,1,21,3,12,"10","Germany",0.007201986754966887,"Music"
9164,1232,3,282,1,1,20,5,300,"24","Germany",0.16553906591008294,"Entertainment"
447518,7758,154,1598,1,1,23,8,99,"1","Germany",0.021250541877645145,"Film & Animation"
658805,8480,1711,2292,12,1,10,10,246,"20","United Kingdom",0.018947943625200175,"Gaming"
747200,1990,1170,442,12,1,5,8,86,"22","United Kingdom",0.004820663811563169,"People & Blogs"
90191,5613,249,556,1,1,21,11,397,"22","Canada",0.07116009357918196,"People & Blogs"
9556,481,19,44,1,1,14,10,531,"22","Germany",0.05692758476349937,"People & Blogs"
968586,0,0,4907,4,0,14,19,106,"24","Canada",0.005066147972405135,"Entertainment"
61763,332,26,52,2,1,1,2,1,"22","Canada",0.006638278581027476,"People & Blogs"
24118,135,42,0,2,1,7,12,88,"25","Canada",0.007338916991458662,"News & Politics"
49108,3887,41,447,1,1,45,8,726,"26","Canada",0.08908935407672884,"Howto & Style"
1290921,86247,2333,2842,2,1,11,4,61,"23","Canada",0.07081920582281952,"Comedy"
60487,1618,32,235,1,1,32,14,199,"24","Germany",0.0311637211301602,"Entertainment"
217224,17666,542,486,1,1,10,8,211,"23","Canada",0.08605863072220381,"Comedy"
50669,411,157,503,5,3,8,7,54,"25","USA",0.021137184471767746,"News & Politics"
423074,1307,364,239,3,1,11,6,8,"25","Canada",0.004514576646165919,"News & Politics"
125684,3948,200,1692,5,2,13,6,224,"28","USA",0.046465739473600456,"Science & Technology"
7169536,260767,12532,27911,4,1,28,14,221,"10","Canada",0.04201248170034993,"Music"
88987,677,142,281,12,1,7,12,26,"1","United Kingdom",0.012361356153145965,"Film & Animation"
42482,45,11,45,1,1,22,4,78,"1","Canada",0.0023774775198907774,"Film & Animation"
106218,8030,58,1549,1,1,15,12,685,"23","Canada",0.09072850176053023,"Comedy"
891416,30778,1219,4733,1,1,17,6,241,"28","Germany",0.04120410672458202,"Science & Technology"
13511,192,4,4,1,1,4,9,21,"22","Germany",0.014802753312116054,"People & Blogs"
1956306,92863,2451,21064,4,1,23,10,203,"20","Canada",0.059488648503863914,"Gaming"
9083,516,64,182,1,1,40,9,170,"22","Germany",0.08389298689860178,"People & Blogs"
1965770,72057,777,3381,2,1,38,10,143,"20","Germany",0.038771066808426215,"Gaming"
10824,579,13,7,1,1,1,6,101,"24","Germany",0.055339985218034,"Entertainment"
166492,5177,96,1046,1,1,11,7,90,"25","Canada",0.03795377555678351,"News & Politics"
679067,43968,1378,7754,3,1,41,8,531,"24","Canada",0.07819552415299227,"Entertainment"
159090,12120,113,415,2,1,15,10,122,"20","Germany",0.07950216858382048,"Gaming"
1230476,52468,521,2099,4,1,15,7,82,"28","USA",0.04476966637301337,"Science & Technology"
1204074,10003,578,2020,2,1,27,25,340,"24","Canada",0.01046530362751791,"Entertainment"
16076,369,10,34,1,1,17,7,314,"2","Germany",0.02569047026623538,"Autos & Vehicles"
30982,884,109,89,1,2,22,6,114,"1","Germany",0.03492350397004713,"Film & Animation"
8234,87,1,6,1,2,4,8,10,"20","Germany",0.011416079669662375,"Gaming"
111590,494,26,131,1,2,3,8,75,"25","Canada",0.005833856080293933,"News & Politics"
12216,1653,8,377,1,1,14,5,294,"24","Germany",0.16683038637851996,"Entertainment"
130119,1352,48,29,1,1,24,11,129,"22","Germany",0.010982254705308218,"People & Blogs"
586250,4534,526,3286,2,1,5,13,45,"10","Canada",0.014236247334754797,"Music"
704,10,2,5,2,3,10,7,20,"17","USA",0.024147727272727272,"Sports"
354396,21506,348,1117,1,2,32,7,199,"10","Germany",0.06481732299461619,"Music"
112090,347,54,76,2,1,7,9,20,"17","Canada",0.004255508966009456,"Sports"
1544296,99545,811,7929,2,1,29,6,185,"22","Canada",0.07011932945497495,"People & Blogs"
58016,1247,16,177,1,1,8,10,1,"24","Canada",0.024820739106453393,"Entertainment"
523984,20738,281,5109,2,1,30,5,42,"24","Canada",0.049864117988335524,"Entertainment"
314248,9989,172,2137,1,1,35,3,133,"23","Germany",0.03913469616353962,"Comedy"
68800,242,29,296,2,0,36,6,6,"17","Canada",0.008241279069767442,"Sports"
414421,26488,435,3767,1,1,9,3,25,"23","Germany",0.07405512751525622,"Comedy"
20631,93,112,310,2,1,11,13,31,"22","Germany",0.024962435170374678,"People & Blogs"
3835,229,2,1,1,1,31,7,785,"29","Germany",0.06049543676662321,"Nonprofits & Activism"
2082,2,1,0,1,1,9,5,23,"25","Germany",0.001440922190201729,"News & Politics"
5741,0,0,0,1,1,8,4,12,"24","Germany",0.0,"Entertainment"
24065621,404788,22557,26631,5,0,32,12,193,"24","Canada",0.018864088319183618,"Entertainment"
1029141,26448,990,3284,3,1,26,16,72,"23","USA",0.029852080521522318,"Comedy"
2254977,199485,3052,18356,4,1,3,5,51,"23","Canada",0.09795798360692815,"Comedy"
19011,131,5,7,1,2,36,8,245,"24","Germany",0.007521960969964757,"Entertainment"
80992,6537,91,1696,1,1,1,9,115,"1","United Kingdom",0.10277558277360727,"Film & Animation"
129069,576,92,31,1,1,10,13,273,"24","Germany",0.0054157078771819725,"Entertainment"
179835,5751,198,294,3,1,17,6,148,"1","Germany",0.034715155559262655,"Film & Animation"
5979,220,9,43,1,1,9,9,194,"28","Germany",0.04549255728382673,"Science & Technology"
251072,4767,220,1971,1,1,8,13,125,"23","Canada",0.027713165944430282,"Comedy"
182121,4982,160,1968,5,4,8,16,164,"25","USA",0.039039978915116874,"News & Politics"
258561,7557,283,1727,1,1,38,18,717,"19","Canada",0.037000939816909745,"Travel & Events"
89352,5008,33,517,1,2,14,10,202,"1","Germany",0.062203420180857734,"Film & Animation"
3647,51,8,23,1,1,3,10,58,"17","Germany",0.022484233616671238,"Sports"
87022,1913,34,275,1,1,24,11,199,"24","Germany",0.025533773068879134,"Entertainment"
43618,3658,48,385,1,1,40,6,357,"15","Germany",0.09379155394561878,"Pets & Animals"
610214,3572,1078,406,1,1,18,6,70,"43","Germany",0.008285617832432557,"Shows"
154741,699,98,509,1,1,23,4,35,"25","Germany",0.008439909267744166,"News & Politics"
22468,1414,17,83,1,2,16,7,139,"24","Germany",0.06738472494213993,"Entertainment"
8089,15,14,1,1,1,2,12,9,"17","Germany",0.0037087402645568056,"Sports"
30643,614,8,101,1,1,1,4,114,"24","Canada",0.02359429559768952,"Entertainment"
97854,939,34,11,1,1,2,9,24,"24","Germany",0.010055797412471642,"Entertainment"
4716544,10683,2075,399,1,1,1,5,1,"17","Germany",0.002789542512483717,"Sports"
105218,8326,136,325,2,2,17,5,123,"27","Germany",0.08351232678819213,"Education"
8748,6,1,6,1,1,1,4,5,"25","Canada",0.0014860539551897576,"News & Politics"
791826,5882,586,1290,1,1,24,10,136,"24","Canada",0.00979760705003372,"Entertainment"
44340,2205,69,238,1,1,4,8,202,"28","Germany",0.0566531348669373,"Science & Technology"
2928,14,3,0,1,0,5,5,63,"25","Canada",0.005806010928961749,"News & Politics"
69701,2240,92,245,1,1,5,14,79,"24","Germany",0.03697220986786416,"Entertainment"
1164201,57309,749,624,1,4,31,6,124,"22","United Kingdom",0.050405385324355505,"People & Blogs"
117571,788,58,201,1,1,27,6,32,"24","Germany",0.008905257248811357,"Entertainment"
292198,28341,373,2441,1,1,15,5,26,"10","Canada",0.1066229063853962,"Music"
324618,7294,185,974,2,1,10,13,83,"24","Germany",0.026039837593725548,"Entertainment"
330827,1255,436,3185,5,2,31,14,169,"25","USA",0.014738821196577063,"News & Politics"
275768,1733,258,192,2,1,23,8,339,"24","Germany",0.007916074381364045,"Entertainment"
837697,22133,445,4529,7,1,42,3,426,"15","USA",0.03235895556507902,"Pets & Animals"
2437182,51990,1800,2080,1,1,24,15,618,"10","Canada",0.022924016343465525,"Music"
105907,3644,47,394,2,1,18,7,134,"10","Germany",0.03857157694958785,"Music"
422918,19968,487,4757,6,3,14,12,405,"26","USA",0.05961439333393235,"Howto & Style"
155234,1522,45,497,2,2,3,5,8,"22","Canada",0.013296056276331215,"People & Blogs"
